ab-a	 desire
abili-du-	 attach to, fit onto
ada	 again
ag-u-	 put down, lead (canal), lead away (prisoners)
agun-uni	 fortified
ai-a-	 find one's self (at)
a-le	 stopping-place, residence
a(i)ni(ei)	 someone, anyone
a(i)še(i)	 sometime, ever
aiš-ti-	 leap, jump
aku-ki-	 some
'al(a)-d/tu-	 feel sorry for, spare
al(a)s(u)-ini/e	 large
a-la-ú(?)-e(?)	 lord
ale/i	 (he) says
(KUR)alga-ni	 mountain
ali	 which, what a, such a, which
aliki	 alike, a certain; pl.: several
aliki ... aliki	 some . . . (and) some . . .
alipi	 ali ... alipi, some . . . (and) some . . .
aleu(i)še	 size, dignity, majesty
aluki/e	 which
alusi/e	 regent, administrator, master
alu-še	 which (ergative)
amaš-tu-	 burn up, burn off
a(n)da-ni	 district
anda-ni	 right
ani(?)	 measure of capacity
aniar-duni	 independent
apti-ni	 side
aqarqi	 measure for liquids
ar(a)-ni	 grace, favor
ar-daie	 presentation
ar-diše	 strength, power, command
ar-du-	 give
ar-i	 from ar-u-, give
'ari	 granary
armuzi	 family
arniu-še	 act, deed, feat, work
arnu-ia-	 come to the aid of
ar-še	 child, boy
arš-u-	 rule
arSi-bi	 eagle
ar-u-	 give, bestow, present
ar-use	 grace, favor
aSu-ni	 holiday, feast
aše	 when
aše	 shield
(LÚ)aše	 man
ašg-u-	 take, seize
ašh-u-	 fill, complete
ašt-a-	 proceed to
aš-t/du-	 change
aš-u	 leave, follow after
ate-	 father
ath-u-	 build, erect
atibi	 10,000
atqa-na	 offering
atqa-nadu-	 make an offering
at-u-	 eat, destroy
(LÚ)auera-ši	 military commander
auiei	 somewhere
baba	 mountain
bad-gul-	 surround, shut in
badu-si/e	 precious, majestic
bau-še	 word, command, matter
bi/ed-i/e	 turned, return(er), bank
bid-ia-	 turn around
bi/ed-ini	 from the side of
bid-u-	 put / give back
bid-uiaše	 after the return (of)
(LÚ)bura	 slave, servant
burg-ana	 fortress
(ÍD)dainal-a/itini	 branch of a river
did-gugi	 herd
di/er-asia-	 fear
d-u-	 do, cause to do
durb-a-	 revolt
durb-aie	 rebel, agent-provacteur
e'a (eai)	 and, also, as well as
e'a (eai) . . . e'a (eai)	 (X) as well as (Y)
(KUR)eba-ni	 country
edia	 there
edini/e	 from there, out of, thereupon
egur-hu	 free
eir^S-idu	 settle
eri-da-	 appear
(LÚ)ere/i-li	 king
eur-i	 lord, ruler
gar-ini	 fortress
gazu-li	 beautiful, excellent, good
gi/e	 wine-cellar
gun-uše	 war, combat
